text,class_simple,sent_score
the staff is always friendly and helpful.,staff,good
staff is friendly and always willing to help.,staff,good
always seem open to requests.,selection,good
meat prices are always good.,price,good
is always a great experience,repeat_visit,good
I go there almost several times a week,repeat_visit,good
wonderful people I am blessed,staff,good
i shop with a crazy toddler and the staff are always patient.,staff,good
we always buy the house marinated steak tips as well as other meats...... delicious .. mckinnonâ€™s never disappoint ..the best around.,selection,good
always a great experience.,repeat_visit,good
staff is always helpful and smiling.,staff,good
always super friendly .,staff,good
awesome as always,repeat_visit,good
always have what i need and everyone is always so helpful.,staff,good
great local meat shop always got great cuts of meat and chicken.,selection,good
best meats around.... ,selection,good
 the workers are friendly and always there to help you,staff,good
always consistent- good line of produce and groceries as well.,price,good
 and stocked most of the time!,selection,good
always reasonable prices,price,good
i always catch my blackberries for 99â‚¬ and spinach sometimes but overall i enjoy some of the â€¦,freshness,good
kevin is always so helpful.,staff,good
always saves the day with it's prices !!,price,good
i always get what i need for a reasonable price,price,good
always can find good deal and rare items such as european foods,ethnic_selection,good
always stocked up,selection,good
great prices,price,good
cashiers are willing to go above and beyond to help,staff,good
the cashiers are wonderful to my family and i,staff,good
i'm always amazed at how many items i can get in comparison to those same items at upscale grocery chains.,selection,good
cheap prices ,price,good
i always shop here.,repeat_visit,good
but store and staff are always kind and delightful,staff,good
and there are always very short check out lines.,efficiency_of_service,good
excellent look,layout,good
helpful staff,staff,good
great prices,price,good
the staff greets you at the door and are always asking if you are able to find everything ok,staff,good
the staff always look tired but their very halpful.,staff,good
there's always a short line.,efficiency_of_service,good
i have always enjoyed this chain and this location does not disappoint.,no_topic,good
the staff is always friendly.,staff,good
the bakery is always on point.,offerings,good
it always feels special going here.,repeat_visit,good
always find my crumpets here.,selection,good
i have always loved tfm.,repeat_visit,good
bought some deli items that are always very goid here: curry chicken salad sandwich.,offerings,good
it is always awesome coming here.,repeat_visit,good
always great sliced ham n cheese.,offerings,good
always great food and prices for every budget.,price,good
always on point.,no_topic,good
always a pleasure to a at wegmans.,repeat_visit,good
everything was delicious as always,no_topic,good
everything is always available.,selection,good
i always find what i want in this place.,selection,good
at the best prices in the area.,price,good
always have what i need ,selection,good
i've always loved this wegmans.,repeat_visit,good
they always have something yummy.,no_topic,good
always a fun shopping experience!,repeat_visit,good
we have always loved wegmans before.,repeat_visit,good
can always find the uncommon things.,selection,good
checkers are always kind.,staff,good
i always enjoy my time shopping at wegmans.,no_topic,good
customer service is always great.,staff,good
employees are always ready to help.,staff,good
always great customer interaction.,staff,good
i always enjoy going to wegmans.,repeat_visit,good
as always great service and i found everythi g i needed.,staff,good
it's always a pleasure to shop here!,repeat_visit,good
wegmans always have bargains,price,good
and unique food items to purchase,selection,good
you can always find things at wegman's.,selection,good
the staff is always there to help and answer any questions regardless of which dept they work at.,staff,good
always find what i need.,selection,good
wegmans every now and then and it is always a pleasant experience.,repeat_visit,good
staff are always friendly.,staff,good
always have people ready to help.,staff,good
but how the store doesn't just feel like a run of the mill supermarket and there is always something new that magically pops into your basket.,selection,good
the car carts and their â€œcoffeeâ€ (steamed milk) is always a hit!,selection,good
the deli counter is also fantastic at giving them samples which always bring smiles.,offerings,good
always a pleasure shopping here.,repeat_visit,good
awesome as always and not too busy for this time of day.,crowded,good
always good.,repeat_visit,good
always a variety.,selection,good
the produce is always good.,freshness,good
always the best.,repeat_visit,good
always nice staff.,staff,good
people are always so friendly.,staff,good
always a great selection all around!,selection,good
the staff are always kind and knowledgeable,staff,good
huge selection of everyday and specialty items.,selection,good
always great produce,freshness,good
prepared food selection is out of this world.,offerings,good
veggies n fruits and meats fresh and clean.,freshness,good
amazing food selection.. fresh items... clean store and the manager darryl ðÿ˜š is awesome !,freshness,good
fresh and clean food,freshness,good
very clean fresh vegetables and fruit updated dates on food best save-a-lot i've been to,freshness,good
as usual it was a very nice visit was able to get everything i was looking for store is clean the food is fresh and the personnel very nice to deal with,freshness,good
very friendly and clean.,cleanliness,good
great experience at an affordable price.helpful staff and very clean place.,cleanliness,good
but service is nice,staff,good
cleanliness is there.,cleanliness,good
clean.,cleanliness,good
very clean and organize.,cleanliness,good
it's very clean.,cleanliness,good
the place is relatively clean.,cleanliness,good
they usually are well stocked and clean,cleanliness,good
but the store is clean and is you know what you're in for.,cleanliness,good
the store is clean.,cleanliness,good
clean enough.,cleanliness,good
the store is clean and orderly.,cleanliness,good
the store is clean and the customer service is good.,cleanliness,good
clean and organized,cleanliness,good
clean facility.,cleanliness,good
the store is neat and clean and the in store team provides excellent customer service.,cleanliness,good
a clean.,cleanliness,good
clean ans cool items for home,cleanliness,good
clean shopping environment to variety of customers.,cleanliness,good
it is managed by professionals who make sure the store will remain clean and welcoming no matter how busy they get.,cleanliness,good
still worth a visit though - store was also really clean,cleanliness,good
very clean store.,cleanliness,good
clean and organized.,cleanliness,good
very clean.,cleanliness,good
great prices and pretty clean.,cleanliness,good
but pretty clean and well stocked.,cleanliness,good
the store was very clean ,cleanliness,good
nice clean store and got variety of products.,cleanliness,good
its clean and roomies with the right class of order.,cleanliness,good
but this one is clean.,cleanliness,good
its clean and the people are helpful.,cleanliness,good
the store was clean and items accessible.,cleanliness,good
the store itself was very clean and the items accessible.,cleanliness,good
organized and clean.,cleanliness,good
this store is clean.,cleanliness,good
you can find here ezywipe and incredible cleaning cloth.,cleanliness,good
very nice clean and everything  love it,cleanliness,good
clean store.,cleanliness,good
nice and clean stocked up nice,cleanliness,good
the store is very clean and has a good number of products.,cleanliness,good
nice clean store with very reasonable prices,cleanliness,good
save a lot was clean.,cleanliness,good
it's a nice clean drama free grocery store,cleanliness,good
clean good price  friendly  staff,cleanliness,good
it's a lot cleaner and organized then others in the area,cleanliness,good
very close to where i live clean and well stocked.reasonable.,cleanliness,good
generally fairly clean and the employees are usually friendly.,cleanliness,good
this store is clean & employees r very respectful.,cleanliness,good
place is pretty clean & usually stocked.,cleanliness,good
cleanliness.,cleanliness,good
good job keeping the store clean and orginized.,cleanliness,good
very clean an well stocked,cleanliness,good
surgeons place cleaned eats walked in got what i needed walked out decent price,cleanliness,good
store very clean.,cleanliness,good
store was neat and clean,cleanliness,good
very clean and well stocked.,cleanliness,good
nice and clean lines was fast.,cleanliness,good
nice clean store.,cleanliness,good
clean .,cleanliness,good
niceand clean inside as well,cleanliness,good
its a very nice and clean store,cleanliness,good
clean fast.,cleanliness,good
clean and polite cashiers,cleanliness,good
clean fast service,cleanliness,good
so clean!,cleanliness,good
clean and neat.,cleanliness,good
clean�,cleanliness,good
it's clean.,cleanliness,good
they keep the store very well stocked and clean.,cleanliness,good
very clean,cleanliness,good
rest rooms are clean and staff is helpful.,cleanliness,good
the store and restrooms are clean.,cleanliness,good
huge clean facility.,cleanliness,good
itâ€™s pretty clean.,cleanliness,good
generally the store is well layed out and very clean.,cleanliness,good
super clean.,cleanliness,good
a price competitive store this place is an upgrade of an old aldi stores,price,good
best hot bar in terms of them rotating the old food and the food just being good in general good selection pizza and sandwiches and other items.,freshness,good
fresh produce.,freshness,good
best tropical fruits and vegetables and fresh fish on fridays.,freshness,good
fresh food delivered on time.,freshness,good
friendly fresh produce and meat seafood pourtly.,freshness,good
sea food and fresh vegetables.,freshness,good
"(translated by google) you find almost everything that is in the shop and fresh

(original)
encuentras casi todo lo que ay en lavtienda y fresco",freshness,good
a pretty large selection of groceries including some fresh fruits and veggies!,freshness,good
be sure to ask the cashier for a couple fresh tamales when you're paying.,freshness,good
i visit this place to buy fresh sea food and latin american products.,freshness,good
fresh meats and vegetables i liked that alot.,freshness,good
with fresh fruits and vegetables.,freshness,good
they have a great selection of fresh meats,freshness,good
wide variety of food items....prices are amazing...especially the fresh produce,freshness,good
best time to shop at  aldi  is before noon to get the fresh produce.,freshness,good
fresh veggies and food .love it.,freshness,good
the freshest ingredients and produced.,freshness,good
great fresh food.,freshness,good
i cook fresh meal daily for my family.,freshness,good
here i find fresh fruits and veggies at great low prices.,freshness,good
fresher.,freshness,good
only place to shop good prices on fresh vegs an fruit,freshness,good
great selection of fresh and organic produce at great prices.,freshness,good
fresh produce and meat.,freshness,good
they've gotten a lot better on their fresh procduce (organics) and are now offering a small gluten free area which is hige for our family.,freshness,good
the upside to that is you tend to find the freshest produce and other perishable goods at this location when they have it.,freshness,good
produce very fresh.,freshness,good
fresh foods.,freshness,good
fresh veggies and meats at a fraction of a cost than giant foods...prices make a difference for a low income family,freshness,good
everything is fresh the staff very helpful and kind.,freshness,good
their produce are fresh.,freshness,good
fresh goods.,freshness,good
fresh produce .,freshness,good
fresh varieties.,freshness,good
fresh produce are awesome.,freshness,good
and i received some fresh produce for a great price.,freshness,good
fresh produce and great.,freshness,good
and the food is fresh.,freshness,good
this aldi has the most fresh vegetables around dc area .,freshness,good
the freshest products and the best care that you can ask for more !,freshness,good
fresh fruits.,freshness,good
even got a great deal on fresh blueberries.,freshness,good
i really really really love shopping there it's convenience close to my house all the foods or fresh i recommend anybody out there,freshness,good
they have fresh products and fair prices.,freshness,good
great internacional market all fresh products,freshness,good
u can get any thing want .and they have fresh meet .sea food.,freshness,good
wonderful selection of fresh produce.,freshness,good
the produce is fresh.,freshness,good
fresh fruit and typical grocery items.,freshness,good
and even a decent selection of fresh produce for a store of its size.,freshness,good
fresh !!!!,freshness,good
fresh produce of limited supply.,freshness,good
"(translated by google) fresh vegetables

(original)
verduras frescas",freshness,good
the workers at this location of fantastic and i also like the fresh-baked bread and brewed coffee.,freshness,good
fresh produce (basics like pears.,freshness,good
fresh baked bread (on site!!!).,freshness,good
the food is fresh and reasonably priced.,freshness,good
exceptional selection of fresh meats.,freshness,good
fresh food decent prices,freshness,good
i needed a 7lb chuck roast and they cut it fresh right there and then.,freshness,good
great day at mckinnon market good fresh food at a  good price.,freshness,good
i've been a costumer at mckinnon's for 11 years i would not buy mean anywhere else the meat is fresh great people works at mckinnon's ðÿ‘ðÿ»,freshness,good
this is where i order my fresh turkey.,freshness,good
i visit this place to buy fresh sea food and latin american products.,freshness,good
fresh meats and vegetables i liked that alot.,freshness,good
with fresh fruits and vegetables.,freshness,good
they have a great selection of fresh meats,freshness,good
thankful for the convenience and fresh produce.,freshness,good
very friendly and helpful plus food is fresh and reasonable price,freshness,good
save on fresh vegetables.,freshness,good
the laurel location has a smaller selection of fresh fruits and veggies.,freshness,good
everything was very fresh.,freshness,good
food fresh or frozen has everything take your bags if not it going to cost.,freshness,good
i love having the fresh market a 10 minute drive away.,freshness,good
fresh.,freshness,good
fresh is everything about this place.,freshness,good
i love the fresh market especially as i often just shop for myself and appreciate the meat market that allows me to get exactly what i want.,freshness,good
the fresh market has specialized mixes and spices for many different cuisines.,freshness,good
awesome selection of really good fresh food.,freshness,good
get some at fresh  market you say?,freshness,good
it's sad to see how much fresh market has changed since i lived in raleigh four years ago.,freshness,good
fresh bread collection.,freshness,good
fresh food though kinda expensive,freshness,good
expect a small but fresh grocery experience.,freshness,good
this is my go-to spot for fresh food.,freshness,good
"i used to love fresh market but after it has been open for a while its just kinda ""meh"".",freshness,good
love fresh market!,freshness,good
fresh produce.,freshness,good
fresh market is a little market with a good amount of gourmet and gluten-free items.,freshness,good
i reconvene coming in here and check out fresh produce.,freshness,good
the fresh food is great.,freshness,good
my wife and i enjoy fresh market and all of their departments especially their sushi section.,freshness,good
but the fresh market has these wonderful barrels of coffee beans.,freshness,good
a very good selection of fresh items that are absent from the usual chains.,freshness,good
it's best to come early if your want to get fresh fruit.,freshness,good
it's literally one of my favorite grocery store to shop at since you get the best and fresh produce you can at a store.,freshness,good
sushi is very nice and fresh.,freshness,good
fresh food that looks and tastes delightful.,freshness,good
fresh bakery goods.,freshness,good
fresh vegetables.,freshness,good
fresh and scrutinized by the staff to make sure every shopping experience you have is the best to make sure you keep â€¦,freshness,good
food fresh.,freshness,good
freshly made cold and hot drinks.,freshness,good
the seafood is supper fresh.,freshness,good
fresh products and they even spray over the vegetables at times.,freshness,good
fresh fresh fresh food.,freshness,good
and products are fresh.,freshness,good
produce freshness.,freshness,good
sushi and most of the fresh foods section is amazing.,freshness,good
freshness.,freshness,good
just got fresh chicken wings and some berries and bananas.,freshness,good
great selection of fresh foods.,freshness,good
enjoy traipsing thru all the various types of food ready made or fresh or frozen.,freshness,good
fresh food.,freshness,good
fresh vegetables and fruit.,freshness,good
the fresh hot bar is incredible with so many options.,freshness,good
fresh and sea food.,freshness,good
the fresh bread is awesome.,freshness,good
fresh produce ,freshness,good
but a very cool store with lots of local and fresh foods,freshness,good
made my sushi fresh and to my liking .,freshness,good
the bakery has an amazing selection from fresh made tortillas.,freshness,good
except for bakery and fresh juice.,freshness,good
produce is superior to other grocery stores - farm to table fresh.,freshness,good
the bakery offers so many fresh baked goods.,freshness,good
fresh sushi.,freshness,good
the food is fresh.,freshness,good
fresh made tortillas are an extra plus.,freshness,good
every item was fresh and reasonably priced.,freshness,good
so much variety and lots of fresh food choices.,freshness,good
it has a better selection of fresh fruits and vegetables compared to the chantilly location.,freshness,good
a bit expensive but fresh and good food.,freshness,good
love wegmans...fresh food.,freshness,good
fresh deli food is also delicious.,freshness,good
their fresh sushi is also very good.,freshness,good
love shopping for fresh produce and seafood here.,freshness,good
decent selection of products.,selection,good
but the prices can't be beat!,price,good
i was pleasantly surprised by all the baby stuff i would have returned,selection,good
fascinating store filled with goodies you don't even know exist!,selection,good
you can find almost anything you need here!,selection,good
considering the size of the store ,layout,neutral
awesome shop with a variety of good products.,selection,good
what an interesting collection of treats,selection,good
good good,no_topic,good
great people.,no_topic,good
cause... and close to my new home,convenience,good
good for shopping,no_topic,good
 the cashiers and other staff are very nice and helpful.,staff,good
they have a variety of food options from different places around the world.,selection,good
with shelves stacked to the ceiling.,selection,neutral
itâ€™s owned by koreans and caters to salvadorians.,ethnic_selection,neutral
with a good bit of latin and random asian flavors.,ethnic_selection,neutral
all the staff here are so friendly.,staff,good
there's a surprising selection.,selection,good
a perfect place to pick up essentials like almond milk.,no_topic,good
also great for more unique ingredients that you might not find at a larger grocery store.,selection,good
great smaller ethnic supermarket in the middle of dc.,ethnic_selection,good
there are certain that i have to go here to get.,selection,neutral
good selection of harder to find asian pantry items within dc.,ethnic_selection,good
good selection of rice and specialty flours.,ethnic_selection,good
i usually check here if i'm need a specific item for an ethnic dish before schlepping out to va or md.,ethnic_selection,neutral
4 times out of 5 i can find it at best world.,selection,good
good fruit selection .,selection,good
friendly staff .,staff,good
i used to stop by to get japanese potatoes or scotch bonnets.,ethnic_selection,good
you can find many ingredients here that you can't at other stors.,selection,good
reasonable priced.,price,good
the produce is generally very good.,quality,good
if you need latino or korean food or ingredients.,ethnic_selection,good
this is your place!,no_topic,good
good,no_topic,good
