,lat,lon,name,admin1,admin2,cc,coord_tuple
4208,-26.20227,28.04363,Johannesburg,Gauteng,City of Johannesburg Metropolitan Municipality,ZA,"('-26.145429', '28.043377')"
4209,44.68004,21.68552,Coronini,Caras-Severin,Comuna Pescari,RO,"('44.6619074', '21.7554208')"
4210,29.33278,48.02861,Hawalli,Muhafazat Hawalli,,KW,"('29.3506642', '48.0213905')"
4211,25.0657,55.17128,Dubai,Dubai,,AE,"('25.215385', '55.251059')"
4212,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7685151', '46.7109829')"
4213,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1979987', '55.2755263')"
4214,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2408167', '55.3053027')"
4215,22.71792,75.8333,Indore,Madhya Pradesh,Indore,IN,"('22.7290784', '75.8205312')"
4216,23.43362,85.3211,Kanke,Jharkhand,Ranchi,IN,"('23.395714', '85.314583')"
4217,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1136276', '55.1940153')"
4218,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0972804', '55.1708846')"
4219,29.365,48.00139,Ad Dasmah,Al Asimah,,KW,"('29.3752685', '48.006635')"
4220,1.28967,103.85007,Singapore,,,SG,"('1.2540421', '103.8238084')"
4221,30.21035,31.36812,Al Khankah,Muhafazat al Qalyubiyah,,EG,"('30.0257655', '31.4607812')"
4222,34.69374,135.50218,Osaka-shi,Osaka,,JP,"('34.6676517', '135.4996689')"
4223,40.74482,-73.94875,Long Island City,New York,Queens County,US,"('40.7551704', '-73.9707437')"
4224,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1846823', '55.2550237')"
4225,25.17151,51.60337,Al Wakrah,Al Wakrah,,QA,"('25.21428', '51.58153')"
4226,-0.60467,30.64851,Mbarara,Western Region,Mbarara District,UG,"('-0.6074821', '30.662646')"
4227,48.85341,2.3488,Paris,Ile-de-France,Paris,FR,"('48.87983', '2.3574901')"
4228,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1400179', '55.2198206')"
4229,7.2221,125.8731,Bungabon,Davao,Compostela,PH,"('7.219841', '125.872879')"
4230,25.39242,68.37366,Hyderabad,Sindh,,PK,"('25.3842323', '68.359731')"
4231,10.06667,76.28333,Elur,Kerala,Ernakulam,IN,"('9.9985857', '76.3601916')"
4232,29.61031,52.53113,Shiraz,Fars,,IR,"('29.616655', '52.4869751')"
4233,20.71405,70.98224,Diu,Daman and Diu,Diu,IN,"('20.7160246', '70.9838029')"
4234,20.01288,41.46767,Al Bahah,Mintaqat al Bahah,,SA,"('19.866267', '41.569146')"
4235,9.44203,76.53604,Changanacheri,Kerala,Kottayam,IN,"('9.4428246', '76.5429001')"
4236,52.32941,4.93964,Duivendrecht,North Holland,Gemeente Ouder-Amstel,NL,"('52.3143713', '4.9419641')"
4237,25.04776,121.53185,Taipei,Taipei,,TW,"('25.0322165', '121.5174301')"
4238,9.93988,76.26022,Cochin,Kerala,Ernakulam,IN,"('9.926289', '76.323091')"
4239,53.66667,9.91667,Bonningstedt,Schleswig-Holstein,,DE,"('53.6352269', '9.9429213')"
4240,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.6848609', '46.6850991')"
4241,24.9056,67.0822,Karachi,Sindh,Karachi District,PK,"('24.7971396', '67.0785959')"
4242,36.14474,-5.35257,Gibraltar,,,GI,"('36.1485162', '-5.3524953')"
4243,18.3,42.73333,Khamis Mushait,Mintaqat `Asir,,SA,"('18.3059654', '42.7245556')"
4244,1.28967,103.85007,Singapore,,,SG,"('1.3140038', '103.9886008')"
4245,39.5,2.75,s'Arenal,Balearic Islands,Illes Balears,ES,"('39.5148763', '2.748943')"
4246,31.63661,74.87476,Amritsar,Punjab,Amritsar,IN,"('31.6199803', '74.8764849')"
4247,9.62157,123.81231,Tabalong,Central Visayas,Province of Bohol,PH,"('9.625286', '123.8009271')"
4248,51.51216,-0.30204,Ealing,England,Greater London,GB,"('51.5111583', '-0.3196267')"
4249,50.58907,5.86241,Verviers,Wallonia,Province de Liege,BE,"('50.5844466', '5.8488002')"
4250,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3188572', '55.4075863')"
4251,52.26896,20.98644,Zoliborz,Masovian Voivodeship,Warszawa,PL,"('52.268019', '21.001803')"
4252,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2623108', '55.2896022')"
4253,27.91582,34.32995,Sharm el-Sheikh,South Sinai,,EG,"('27.8662048', '34.2940817')"
4254,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1186728', '55.2071424')"
4255,45.203,5.71667,Saint-Martin-le-Vinoux,Rhone-Alpes,Departement de l'Isere,FR,"('45.1927339', '5.7172713')"
4256,24.9056,67.0822,Karachi,Sindh,Karachi District,PK,"('24.8651616', '67.0647972')"
4257,28.58,77.33,Noida,Uttar Pradesh,Gautam Buddha Nagar,IN,"('28.574253', '77.353521')"
4258,33.9,35.48333,Ra's Bayrut,Beyrouth,,LB,"('33.8918932', '35.4716627')"
4259,25.41111,55.43504,Ajman,Ajman,,AE,"('25.4066208', '55.4424284')"
4260,51.75,19.46667,Lodz,Lodz Voivodeship,,PL,"('51.7858266', '19.4203736')"
4261,29.09611,48.13278,Al Manqaf,Al Ahmadi,,KW,"('29.1196352', '48.121416')"
4262,42.01892,-87.80284,Niles,Illinois,Cook County,US,"('42.0220232', '-87.801133')"
4263,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0976423', '55.156451')"
4264,30.21035,31.36812,Al Khankah,Muhafazat al Qalyubiyah,,EG,"('30.0258605', '31.4645071')"
4265,19.37275,84.57184,Digapahandi,Odisha,Ganjam,IN,"('19.4588711', '84.3600443')"
4266,42.19975,-87.80923,Highwood,Illinois,Lake County,US,"('42.2211214', '-87.8123074')"
4267,13.63007,74.69068,Coondapoor,Karnataka,Udupi,IN,"('13.5434319', '74.7022127')"
4268,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2236546', '55.2995277')"
4269,51.51113,-0.01565,Poplar,England,Greater London,GB,"('51.5076549', '-0.0238721')"
4270,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1162492', '55.1423576')"
4271,-23.35028,-47.68861,Ipero,Sao Paulo,Ipero,BR,"('-23.3548185', '-47.6942355')"
4272,51.68033,7.82089,Hamm,North Rhine-Westphalia,Regierungsbezirk Arnsberg,DE,"('51.67634', '7.77906')"
4273,43.9298,2.148,Albi,Midi-Pyrenees,Departement du Tarn,FR,"('43.926707', '2.1533035')"
4274,24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4861932', '54.359443')"
4275,22.28142,114.17258,Wan Chai,Wanchai,,HK,"('22.2937152', '114.1740862')"
4276,13.73649,100.5239,Pathum Wan,Bangkok,,TH,"('13.7444683', '100.5299086')"
4277,26.91962,75.78781,Jaipur,Rajasthan,Jaipur,IN,"('26.9193343', '75.8256398')"
4278,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.1775578', '55.3365171')"
4279,26.21536,50.5832,Manama,Manama,,BH,"('26.2238803', '50.6097494')"
4280,45.60964,11.99416,Piombino Dese,Veneto,Provincia di Padova,IT,"('45.60762', '11.997759')"
4281,24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4181719', '54.4430315')"
4282,44.68315,-73.50295,Plattsburgh West,New York,Clinton County,US,"('44.6977523', '-73.4965314')"
4283,51.51113,-0.01565,Poplar,England,Greater London,GB,"('51.5076947', '0.0179999')"
4284,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2487471', '55.4798238')"
4285,29.77051,-95.4955,Hunters Creek Village,Texas,Harris County,US,"('29.7494828', '-95.4786172')"
4286,52.24424,21.08545,Praga Poludnie,Masovian Voivodeship,Warszawa,PL,"('52.233852', '21.101772')"
4287,19.15096,72.99625,Airoli,Maharashtra,Thane,IN,"('19.1085047', '73.0173127')"
4288,26.21536,50.5832,Manama,Manama,,BH,"('26.2179529', '50.6076741')"
4289,28.41445,-81.44285,Williamsburg,Florida,Orange County,US,"('28.4079917', '-81.4542997')"
4290,39.50868,2.4766,Santa Ponsa,Balearic Islands,Illes Balears,ES,"('39.5077556', '2.4688395')"
4291,22.63341,88.42286,Dam Dam,West Bengal,North 24 Parganas,IN,"('22.5709104', '88.4693129')"
4292,9.7,76.33333,Vayalar,Kerala,Alappuzha,IN,"('9.6611287', '76.3002896')"
4293,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0908295', '55.1529044')"
4294,34.69374,135.50218,Osaka-shi,Osaka,,JP,"('34.6706267', '135.4979638')"
4295,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.316224', '55.41759')"
4296,12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('13.0079241', '77.556422')"
4297,12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('12.9271327', '77.5735156')"
4298,58.53706,15.03649,Motala,OEstergoetland,Motala Kommun,SE,"('58.5494796', '15.0926511')"
4299,25.0657,55.17128,Dubai,Dubai,,AE,"('25.109893', '55.1415335')"
4300,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0804644', '55.3679742')"
4301,31.21564,29.95527,Alexandria,Alexandria,,EG,"('31.2316262', '29.9461081')"
4302,55.86515,-4.25763,Glasgow,Scotland,Glasgow City,GB,"('55.8688458', '-4.2623132')"
4303,24.99368,121.29696,Taoyuan City,Taiwan,,TW,"('24.989279', '121.286909')"
4304,42.10723,13.39429,Massa d'Albe-Corona,Abruzzo,Provincia dell' Aquila,IT,"('42.1061678', '13.3947036')"
4305,48.20849,16.37208,Vienna,Vienna,Wien Stadt,AT,"('48.2045806', '16.371285')"
4306,24.25088,55.79312,Al Buraymi,Al Buraimi,,OM,"('24.2601538', '55.7491003')"
4307,35.99403,-78.89862,Durham,North Carolina,Durham County,US,"('36.0412338', '-78.8991663')"
4308,11.24802,75.7804,Kozhikode,Kerala,Kozhikode,IN,"('11.2470693', '75.7837014')"
4309,17.38405,78.45636,Hyderabad,Telangana,Hyderabad,IN,"('17.3313923', '78.4037587')"
4310,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0043745', '55.2505662')"
4311,25.11641,56.34141,Al Fujayrah,Al Fujayrah,,AE,"('25.122259', '56.343923')"
4312,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2488844', '55.3059839')"
