other_loc_name,other_loc_address
Rumi Cafe,"Al-Shariaah College St. 14, Amman, Jordan"
Al-Najjar,"Prince Saud Al Faisal, Al Faisaliyyah, Jeddah 23442, Saudi Arabia"
Ginger Trivandrum,"Kazhakootam - Kovalam Bypass Rd, Technopark Campus, Near, Kazhakkoottam, Kerala 695581, India"
Fitness First Golden Mile (MIXED),"Building 7, Golden Mile, Palm Jumeriah, Dubai"
إعمار لمواد البناء,"An Nawwariyyah, طريق المدينة النازل لمكة, Mecca Saudi Arabia"
China City,"6315 Falastin, حي الحمراء، 2724، Jeddah 23321 6315, Saudi Arabia"
THE DUBLINERS’ CAFE＆PUB（ダブリナーズ カフェ＆パブ）渋谷店,"Japan, 〒150-0043 Tokyo, Shibuya City, Dogenzaka, 2 Chome−29−8 道玄坂センタービル2F"
Zone 1 ExpoLink,Dubai
Clarion Hotel Park Avenue,"429 Park Ave S, New York, NY 10016, United States"
Embers,"As Sidrah, Riyadh 12241, Saudi Arabia"
OLAIZOLA JATETXEA,"BAJO;CASA OLAIZOLA, Kalea, Tornola Kalea, 2, 20180 Ergoien, SS, Spain"
Cafe Coffee Day Carter Road,"Gagangiri Premises Building, Sangeet Samrat Naushad Ali Marg, Bandra West, Mumbai, Maharashtra 400052, India"
Chelakottukara Center,"Thrissur Mannamangalam Rd, Chelakkottukara, Anchery, Thrissur, Kerala 680005, India"
PIETRIPALACE RESTAURANT,"Avenue Moulay Hassan, Rabat, Morocco"
Pujya Shree Kanji Swami Atithi Bhawan,"Madhuban, Jharkhand 825108, India"
Datacare LLC,Dubai
Shake Shack,Localizer Mall طريق الأمير محمد بن عبد العزيز،، Riyadh Saudi Arabia
Fort Restaurant,"Khanewal Bypass Niazi Chowk, Chak 84-10-R، Khanewal, 58150, Pakistan"
Target Gym,Q Block Sheikh Zayed Rd - Dubai
Kalpakavadi Restaurant,"NH 47, Thottapally, Karuvatta, Alappuzha, Kerala 688563, India"
Charisma Cafe,"615 36298, Saudi Arabia"
Iron Park Gym W.L.L,"Zinj، Manama, Bahrain"
Sheikh Zayed Desert Learning Centre,"Al Ain Zoo, Nahyan The First Street - Abu Dhabi"
Sathorn Unique Tower,"Charoen Krung Rd, Yan Nawa, Sathon, Bangkok 10330, Thailand"
"Avto Kafeteriy ""Ideya""","Sovetskaya Ulitsa, 2в, Stolbishche, Tatarstan, Russia, 422624"
푸른바다와금빛해변,"South Korea, Chungcheongnam-do, Taean-gun, Sowon-myeon, Uihang-ri, 977-61"
Pragati Restaurant,"Brij Complex, Susen vadsar Rd, Opp.Sai Baba Mandir, Vadsar, Makarpura, Vadodara, Gujarat 390010, India"
Teatro,Sheikh Zayed Rd - Dubai
City Centre Sharjah,Al Wahda Road - Sharjah
Masjid,"40 22885, Saudi Arabia"
مزاج تايم مطعم و كافيه Mazaj Time Restaurant & Cafe,Ind. Mussafah - Abu Dhabi
Taco Y Taco Mexican Eatery,"9470 S Eastern Ave, Las Vegas, NV 89123, United States"
Brainstorm lobby,"Al-Madina Al-Monawara St 118, Amman, Jordan"
Chai And Pani,20 16th St - Dubai
Virgin Megastore Sahara Centre,"Ground Floor, Sahara Centre, Sharjah Duabi, Nahda - Sharjah"
Chalhoub Group d3 Office,Building 11 - Dubai
Koperkraft Physiotherapist,"Block D, B-23, Ramprastha Colony, Block D, Chander Nagar, Surya Nagar, Ghaziabad, Uttar Pradesh 201011, India"
Pick nick ossi,"Spielbergstraße 26, 6391 Fieberbrunn, Austria"
Brand Factory Malleshwaram,"Chidananda Square, Coconut Avenue Road Near Palace Guttahalli Near Palace Guttahalli, 5th Cross Rd, Malleshwaram, Bengaluru, Karnataka 560003, India"
"East of England Co-op Foodstore, The Green, Martham","The Green, Martham, Great Yarmouth NR29 4PA, United Kingdom"
Eurovea,"Pribinova 8, 811 09 Bratislava, Slovakia"
The Steeping Room,"4400 N Lamar Blvd, Austin, TX 78756, United States"
Three60 Communities Dubai,"The Curve Building, 1st Floor, Al Quoz 3 - 358, Hadaeq Mohammed Bin Rashid - Dubai"
Al Ramth,Dubai
National Laboratory for Soil Investigation & Building Material Testing - Dubai Br.,Damascus Street - Dubai
MINISO,18 Baniyas Square-14th Rd - Dubai
Al Tazaj Restaurant مطعم الطازج,"King Abdullah Ibn Abdul Aziz، As Safra, Buraydah 52382, Saudi Arabia"
ProWash,Street 7 - Dubai
MAXZI The Good Food Shop,Dubai
Plaza de la Libertad,"Plaza Libertad, 13, 18411 Pampaneira, Granada, Spain"
Transcorp Hilton Abuja,"1 Aguiyi Ironsi St, Maitama 900001, Abuja, Nigeria"
Mall De Goa,"NH 66, Alto Porvorim, Penha de França, Goa 403521, India"
美蓁小吃店,"404, Taiwan, Taichung City, North District, Yingcai Road, 166號"
Wen Zhou Chinese Super Market International City,China A3 - Dubai
KIPCO Tower,"Kuwait City, Kuwait"
Il Pinolo,"Via del Ponte alle Mosse, 26/r, 50123 Firenze FI, Italy"
Borpince Restauracja i Winiarnia Węgierska,"Zgoda 1, 00-018 Warszawa, Poland"
Sri Shankar Andhra Mess,"Upkar Layout, Whitefield, Bengaluru, Karnataka 560066, India"
Shawayatie Restaurant,"Prince Sultan Rd, Shukr, Khamis Mushait 62465, Saudi Arabia"
Stacja Kontroli Pojazdów. Przeglądy Rejestracyjne TOSZECKA,"Toszecka 7A, 44-102 Gliwice, Poland"
مطعم ورسان للمندي الشارقة,Next to ADNOC Gas Station - King Faisal St - Sharjah
Gladys Beauty Saloon-Dubai Marina,Marina Diamond 5 - Dubai
Pittatore Cav. Francesco,"Via Alba, 47, 12060 Barolo CN, Italy"
The Haycock Hotel,"Wansford, Peterborough PE8 6JA, United Kingdom"
Sidreed Historical Village,"صدريد 67379, Saudi Arabia"
Elite Cafe,"Międzymorze 84, 84-141 Jastarnia, Poland"
Peony Flowers & Chocolates,"Shop No .2,G Floor, Peony Building, Muwailih Commercial - Sharjah"
Dabbasi Mosque,"6535 ذهبان، Al Quds, Riyadh 13214, Saudi Arabia"
Talal Supermarket,China H04 - Dubai
Eros Group,"Eros House, Al Barsha 1, Opp Jashanmal - Dubai"
Union8,"740 S Circular Rd, Kilmainham, Dublin, D08 W257, Ireland"
United Foodies & Kitchen,"House no. B-31, Gulshan-e-Iqbal, Block no.2, opposite Baseera Apartment, Near Moti Mehal, Block 2 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh, Pakistan"
Hanuman Temple,"Swaraj Nagar, Laxmi Nagar, Pandesara, Udhna, Surat, Gujarat 394221, India"
Mad Pizza,"Estarda Nacional 9, 2645-543 Alcabideche, Portugal"
Terra Bites,"428, ground floor, 8th Main Rd, Koramangala 4-B Block, Koramangala 4th Block, Koramangala, Bengaluru, Karnataka 560047, India"
Ashoka Indian Restaurant,"6 Chome-6-2 Nishishinjuku, Shinjuku City, Tokyo 160-0023, Japan"
Al Wagan,980 - Abu Dhabi
Lord of the Wings,"Kaslik roundabout، Kaslik, Lebanon"
Le Gab Cafe,"F. Ramos Street Corner General Maxilom Avenue, Cebu City, 6000 Cebu, Philippines"
Leaders Center,"Haidar Murad & Sons Complex، King Abdullah II St, Amman, Jordan"
The Filipino Times,"809 & 904 Grosvenor Business Tower, Barsha Heights Dubai AE - Dubai"
ADNOC Service Station,Sheikh Zayed Tunnel - Abu Dhabi
"Cape Monte Carlo 3, Supertech Capetown","201304, Supertech Capetown, Sector 74, Noida, Uttar Pradesh 201304, India"
Maas Community Hall,"Thrikkavu, Ponnani, Kerala 679577, India"
La Tour Belvedere hotel,"2175 Boulevard de Maisonneuve O, Montreal, Quebec H3H 1L5, Canada"
Steen & Strøm Food Court,"Kongens gate 23, 0153 Oslo, Norway"
Engineering Consortium Consulting Engineers,شارع الشيخ راشد - Dubai
Rashid Matar Al Jabri Mosque,42 A Street - Dubai
JA Bateaux Dubai,Al Seef Street
Universal Gym & Fitness Training Centre,"Hengrabari Rd, GMC Ward Number 44, Hengrabari, Guwahati, Assam 781006, India"
"Frango D'Ouro-Comercio E Industria De Produtos Alimentares, Lda.","Largo 5 de Outubro 1, 2805-238 Cova da Piedade, Portugal"
Planeta Grill,"R. Dezenove de Fevereiro, 118 - Botafogo, Rio de Janeiro - RJ, 22280-030, Brazil"
Santuario de Loiola,"Lugar Barrio Loiola - Núcleo, 16, 20730 Loyola, SS, Spain"
The Globe Roundabout,"دوار الكرة الأرضية، Al Mohmmediah, Jeddah 23618, Saudi Arabia"
GIA,Financial Center Rd - Dubai
First Hotel G,"Nils Ericsonsplatsen 4, 411 03 Göteborg, Sweden"
Somaiya Ground No. 2,"Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra 400077, India"
Tirupati Home Stay,"Raghunatha Resorts House No. 42 Thanapalli Road Opp. to Ramanaidu Kalyana Mandapam, Tirupati, Andhra Pradesh 517503, India"
حاتي شيخ البلد النعام,"2 عبد الحميد عثمان تقاطع شارع عين شمس, ميدان النعام, حلمية الزيتون، قسم عين شمس، محافظة القاهرة‬،،, Ain Shams, Helmeyat AZ Zaytoun, Ein Shams, Cairo Governorate, Egypt"
Autocares Julià,"Carril Montañez, 26, 29004, Málaga, Spain"
Haji Ali juice center Jayanagar,"36th cross, 6th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India"
Dubare Elephant Camp-Resort-Junglelodges,"Kushalanagar, Nanjarayapatna, Karnataka 571234, India"
McDonalds,"Shop No. 42, Tolstoy Rd, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001, India"
"Joyalukkas Jewellery, Main","The Gold Center, Al Ras, Deira - Dubai"
The Dome,Sheikh Rashid Bin Saeed Al Maktoum St - Abu Dhabi
Navratna Pure Veg Hotel,"Behind Delfinos, Alto Porvorim, Reis Magos, Goa 403521, India"
Linley & Simpson with Morgans,"1 Dock St, Leeds LS10 1NB, United Kingdom"
Grand Frais Lescure d'Albigeois,"Route de la Barrière, 81380 Lescure-d'Albigeois, France"
Ertiaad Hotel,"مركز تسوق الراقي، حي الحمرا، أمام، Tabuk 47914, Saudi Arabia"
Market Carcavelos,"Praça Dr. Manuel Rebello de Andrade 3, 2775-596 Carcavelos, Portugal"
Raffles Cafe Diner,"13 Craven Rd, Paddington, London W2 3BP, United Kingdom"
Turtle on the Beach,"TC 63, 512 TO 523, Beach Rd, Kovalam, Kerala 695527, India"
Maatilamatkailu Hirvonen,"Rostilantie 52, 82210 Suhmura, Finland"
CINCO,"KUWAIT، Kuwait City, Kuwait"
Smith & Wollensky,"797 3rd Ave, New York, NY 10022, United States"
Atyab Falafel,Sharjah
Mina Seyahi,Al Sufouh Rd - Dubai
Casa del Libro,"Calle de Fuencarral, 119, 28010 Madrid, Spain"
Starbucks,"halim St, groud floor shop number 45. Mall of Emirates - Dubai"
Big Bazaar,"Ashok Cosmos Mall 119-120/8, Sanjay Place, Agra, Uttar Pradesh 282002, India"
Restaurante Hoja Verde,"Passeig de Sant Antoni, 19, 08014 Barcelona, Spain"
Park Polińskiego J.,"Szaserów, 00-001 Warszawa, Poland"
So Chic UAE,64 34c St - Dubai
E.Leclerc Albi,"Z.A.C Fonlabour, 81000 Albi, France"
McDonald's,ADNOC Perol station، Sheikh Mohammed Bin Khalifa road - Abu Dhabi
Metropolis Building,"Calle de Alcalá, 42, 28014 Madrid, Spain"
Backcomfort,"King Abdulaziz Branch Rd, Red Sea Mall, Jeddah 23612, Saudi Arabia"
Mercado de San Agustín,"Cuesta Águila, 1-3, 45001 Toledo, Spain"
Madina Mall Qusais,Dubai
loaay restaurant,"Unnamed Road، Madinet Tala, Tala, Menofia Governorate, Egypt"
Moti Mahal Delux,"Landmark Mall, 2nd Floor, Centre Point, Aligarh, Uttar Pradesh 202001, India"
Central Station,"Tyan Building, Armenia Street, Mar Mikhael، Beirut, Lebanon"
ROBA NOODLE,"2493 Park Ave, Tustin, CA 92782, United States"
Masaya Restaurant,Abu Dhabi
AVIS Billeje,"Københavnsvej 102, 4000 Roskilde, Denmark"
ENOC,Towards Dubai، Sheikh Mohd Bin Zayed Road، E 11، Warqaa Side - Dubai
KFC Chelsea Heights,"16 Piper Dr, Chelsea Heights VIC 3196, Australia"
AA Sons Warehouse,"Umm Suqeim Street, Behind Lulu Hypermarket، Al Barsha - Dubai"
Priority Projects Publishing,"789, Glen Garry Ave, Harare, Zimbabwe"
Eden Hotel and Resorts,"Eden Avenue by Bells Secondary School, Ota, Ogun state, Igboloye, Nigeria"
Madfoon Al-sadd'ah restaurent,Jumeirah St - Dubai
Lulu Mall,"34/1000, Old NH 47, Edappally Junction, Nethaji Nagar, Edappally, Kochi, Kerala 682024, India"
Holiday Inn Riyadh - Olaya,"Olaya St, Riyadh 11547, Saudi Arabia"
Ketch Up Dubai Restaurant,"Bluewaters Islands, Off Jumeirah Beach Residence Near - Dubai"
SEGREX AUTO FZCO MAIN BRANCH,P3- - 27 3 St - Dubai
Al Muwaiji Village,Al Jamia St - Abu Dhabi
Artusi Ristorante e Bar New Delhi (Italian Restaurant),"M-24, Block M, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048, India"
Tacos de fes,"11 Rue Badr, Fès, Morocco"
Plaza de Colón,"1, 28001 Madrid, Spain"
Shabby Chic Cafe,Sultan Bin Zayed the First St - Abu Dhabi
Al Ghandi Auto Showroom Sharjah - معرض الكندي للسيارات الشارقة,"Sharjah - Double Cola Road, Industrial Area# 5 - Sharjah"
Hotel Usha Residency,"Kalptaru Apartment, Vijay Nagar, Near KDCC Bank, Hospital Rd, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001, India"
Embassy TechVillage,"Outer Ring Rd, near New Horizon College, Kaverappa Layout, Devarabisanahalli, Kadabeesanahalli, Bengaluru, Karnataka 560103, India"
Bombay Sweets & Bakery LLC,6 A St - Dubai
Kaman Wa Kaman Pastry,Abu Dhabi
"Croma Logix City Centre, Noida","Unit No. 11 Logix City Centre Plot No, BW-58, Sector 32, Noida, Uttar Pradesh 201301, India"
Dalton's,"84-14 Astoria Blvd, East Elmhurst, NY 11370, United States"
Mediterranean Cosmos,"11ο χλμ εθνικής οδού, A/D Thessalonikis Neon Moudanion, Thessaloniki 570 01, Greece"
Bab al-Yemen,"Azza St 29, Jerusalem, Israel"
Oregon Dunes National Recreation Area,"US-101, Reedsport, OR 97467, United States"
Nicol’s Palace,"HM44+GH, Mile 11, Ghana"
Gazebo Restaurant,Ajman City Centre - Ajman
TOHO Cinemas Shinjuku,"Shinjuku Toho Building, 3F 1 Chome-19-1 Kabukicho, Shinjuku City, Tokyo 160-0021, Japan"
GoTango - OnePlus Service Center Bangalore,"Near Spice Garden Restaurant, Purva Riviera mall, Varthur Rd, Marathahalli, Bengaluru, Karnataka 560037, India"
Restaurant Sa Caleta,"Platja d'es Bol Nou, s/n, 07830 Sant Josep, Balearic Islands, Spain"
ALBAIK,"King Faisal Rd, Bani Khidrah, Medina 42311, Saudi Arabia"
Shoprite Ikeja City Mall,"Ikeja City Mall, Obafemi Awolowo Way, Ikeja, Nigeria"
Green House,"Al Etihad Rd, Near Deira City Centre Metro Station - Dubai"
Le Vieux Velo,"59 Rue Beaubien E, Montreal, Quebec H2S 1R1, Canada"
7 Production & Events,"International Media Production Zone, Building PBU # A18 - Dubai"
Royal Continental Hotel,Dubai
Shami Gourmet,"G Floor,Torch Tower, Dubai Marina - Dubai"
Cosy Club,"The Brewery, High St, Cheltenham GL50 3FF, United Kingdom"
SAID London,"41 Broadwick St, Soho, London W1F 9QL, United Kingdom"
Four Star Pizza,"Strada Vulturului 4, Brașov 500264, Romania"
مركز علاء الدين للالعاب,"Tarek Al-Jundi St., Amman, Jordan"
Premier Inn Dubai International Airport Hotel,"Airport Road, Opp Terminal 3, Dubai International Airport - Dubai"
The Emirates Lounge,"13067 Short Term Parking Rd, O.R. Tambo, Kempton Park, 1627, South Africa"
Adnoc - West-bound Entrance,E84 - Fujairah
Husk,"76 Queen St, Charleston, SC 29401, United States"
بيروت SHOES,"Al Diwaniyah, Iraq"
Arabica Dubai City Walk,"Al Wasl and Al Safa Road Junction, Al Mustaqbal Street، City Walk II - Dubai"
TOTAL Mejdlaya,"Main Road to Majdalaya, Lebanon"
Arz Lebnane,Lebanon
حلويات ابونار,"2839-2939 Prince Saud Al Faisal, Al Safa, Jeddah 23451 7376, Saudi Arabia"
Firefly Burger Aqaba,"Aqaba, Jordan"
Shell,"A5 Breisgau, 79227 Schallstadt, Germany"
Ghantoot Racing & Polo Club,"Exit 399, Abu Dhabi -Dubai Rd, Near Al Jazeera Hotel - Abu Dhabi"
Mezze Bar,"9 Durham Street East, Auckland CBD, Auckland 1010, New Zealand"
Gul Ahmed Exclusive Stores,"S-19-59, Mall Rd, Lahore, Punjab, Pakistan"
DX Garage,Al Quoz 3 - Sheikh Zayed road behind FAB metro station Opposite Dubai Garden Centre - Dubai
Jin 28,"1255 N Rand Rd, Arlington Heights, IL 60004, United States"
제일뒷고기,"South Korea, Gyeongsangnam-do, Gimhae-si, Samgye-dong, 1415-7"
Panda,"King Saud St, Al Amamrah, Dammam 32415, Saudi Arabia"
Kullhad,"PP Compound, Singhi Marg, Hindpiri, Ranchi, Jharkhand 834001, India"
Fashion Park,"No.E-147A, Near Indian Overseas Bank, 2nd Aveune, near (central government officers quaters, Besant Nagar, Chennai, Tamil Nadu 600090, India"
Igloo Flowers,"10, The Shard Arcade, Station,, London Bridge, London SE1 9BZ, United Kingdom"
Grosvenor Commercial Tower,Sheikh Zayed Rd - Dubai
Two Villas Holiday Oxygen Style Naiharn Beach,"136/275 Moo4 Soi Pattana, Rawai, Mueang Phuket District, Phuket 83130, Thailand"
citrussTV,Dubai Studio City Commercial Office 1 - Dubai
Bakhsh Market,"Gulaab Pura Lodhrān, Lodhran, Punjab, Pakistan"
Harry plaza trading LLC,Meena bazar - Dubai
The White Swan,"32-34 Station Rd, Solihull B91 3SB, United Kingdom"
PVS Kalakunj,"Kodailbail, Mangalore, Karnataka 575003, India"
Applebee's,"Al Matar, Hail Saudi Arabia"
Parcheggio in Superficie IV Novembre,"Piazza 4 Novembre, 16035 Rapallo GE, Italy"
Manoharpur toll plaza,"Manoharpur toll palaza ke pass, Manoharpur, Rajasthan 303104, India"
Leto,"Ulitsa Nikolaya Yershova, 5, Kazan, Tatarstan, Russia, 420097"
Poechenellekelder,"Rue du Chêne 5, 1000 Bruxelles, Belgium"
Sultan Baba Iskender Restaurant,"Villa 848, Jumeirah Beach Road, Umm Suqeim, Near Jumeirah Beach Hotel - Dubai"
MM Migros,"Alibeyköy Mah. Vardar Bulv. Biz Cevahir Haliç Alışveriş Merkezi No: 5-11, 34060 Eyüp/İstanbul, Turkey"
Golden Trout,"Ivana Franka St, 67, Korostiv, Lviv Oblast, Ukraine, 82630"
Bil2 Ballerup,"Gl Rådhusvej 28, 2750 Ballerup, Denmark"
EM's Kitchen,"38 St Mary's St, Edinburgh EH1 1SX, United Kingdom"
Buddha Smriti Park,"Fraser Road, Near Patna Railway Station Patna Junction, Bihar 800001, India"
三甲日本料理,"10491, Taiwan, Taipei City, Zhongshan District, Lane 77, Section 2, Zhongshan North Road, 14號"
Liberty Science Center,"222 Jersey City Blvd, Jersey City, NJ 07305, United States"
Liberty London,"Regent St, Soho, London W1B 5AH, United Kingdom"
Dubai Parks and Resorts - Visitor Car Park,Dubai
Reliance Trends,"Bandigowda Layout, Shankar Pura, Mandya, Karnataka 571401, India"
Cinnabon - Al Ghurair,"Al Ghurair Center, Entrance 2, Ground Floor, 5B St Off - Al Rigga Rd - Dubai"
"Royal Botanic Gardens, Kew","Richmond TW9 3AB, United Kingdom"
The Meadows 1 - Emaar,Emirates Living Community - First Al Khail St - Dubai
قصر الفردوس للأثاث,"Najaf, Iraq"
Nadezhda,"Объездная улица, Goryachevodsky, Stavropol Krai, Russia, 357560"
Royal Victoria Place,"300 Victoria Rd, Tunbridge Wells TN1 2SS, United Kingdom"
Al Shurooq Mobile Phones Trdg,Ajman
نمايندگي اپل گلشن شعبه قصردشت شيراز,"Fars Province, Shiraz, District 1, Ghasro Dasht St, Iran"
BARSTOL&KOK,"Zheltoksan St 126, Almaty 050000, Kazakhstan"
Cafe 555,"Rd Number 1, Owaisi Pura, Masab Tank, Hyderabad, Telangana 500028, India"
Donuts world,"Westlands Mpaka/Muthithi Road Junction, Kenya"
Novo Cinemas,"Sheikh Rashid Rd, Near Grand Hayatt - Dubai"
Monza Eni Circuit,"Via Vedano, 5, 20900 Monza MB, Italy"
J5 Restaurant,Omran Accomadation - Dubai
Comercial Santo André,"R. Barão do Rio Branco, 92 - Centro, Itabaiana - SE, 49500-000, Brazil"
The View Hotel,"King Abdul Aziz Rd, Abha Al Jadidah, Abha 62512, Saudi Arabia"
KFC,"Block 7,Dubai Knowledge Village - Dubai"
Nespresso,"Phase 2, Avenues Mall, Kuwait.، Kuwait"
Park Hyatt Abu Dhabi Hotel and Villas,Abu Dhabi
Red Apple,"Kheyaban-e-Saadi, opposite Bilawal House، Block 2 Clifton, Karachi, Karachi City, Sindh, Pakistan"
Ostrich restaurant,"Ndejje kibutika, Namasuba, Kampala, Uganda"
Jetwing St. Andrews,"No. 10, St. Andrew’s Road, Nuwara Eliya 22200, Sri Lanka"
Discovery Primea,"6749 Ayala Ave, Makati, 1226 Metro Manila, Philippines"
Ahl Almandi Restaurant,Dubai
Marhaba Lounge (Concourse C),Dubai
Riviera Beach,"Port Fouad City, Port Said Governorate, Egypt"
Jumeirah Golf Estates Club House,Club House - Dubai
Ansar Mall,Al Ittihad St - Sharjah
Mint Leaf Restaurant,"Jumeirah 2, Jumeirah Fishing Harbour - AL SOUQ - Dubai"
مطعم مراحب دبي للمندي والمأكولات اليمنية,"27 St, Al Kuwayt, Kuwait"
Salad Station,Dubai
Drumstix,"65 Yakubu Gowon Cres, Asokoro, Abuja, Nigeria"
Boteco Colonel,"Praça Norival Gonçalves Tavares, 475 - Parque Monte Libano, Mogi das Cruzes - SP, 08780-400, Brazil"
Halka Fulka,"Datta Mandir Rd, opp. Rama Group Capriccio, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Maharashtra 411057, India"
Golden Mile Galleria,Palm Jumeriah - Dubai
Chelsea Burger London,"Chelsea Bridge, Nine Elms, London SW11 4NJ, United Kingdom"
Friends Avenue Cafe Motor City,"Restaurant 2, The Ribbon Mall, Motor City - Dubai"
Moorni.Com,Al Ghurair Centre - Dubai
Brewberry Gulbarga,"Shop No G1-G2, Tegnoor Complex Jayanagar Cross, Sedam Rd, Gulbarga, Karnataka 585105, India"
Karsaz Mosque,"PNS Karsaz Rd, Karsaz Faisal Cantonment, Karachi, Karachi City, Sindh, Pakistan"
GCD Ground,"8 Latifabad Rd, Defence, Hyderabad, Sindh 17000, Pakistan"
Dream Girl Tailors,"Shop # 5، Al Futtaim Building، Meena Bazaar, Bur Dubai - Dubai"
Flora Creek Deluxe Hotel Apartments,"Port Saeed Road ,Near Deira City Centre Dubai Creek - Dubai"
백년손님바베큐,"South Korea, Gyeongsangnam-do, Gimhae-si, Jangyu-myeon, Daecheong-ri, 592"
Bharat Petroleum,"Banerji Rd, North Kaloor, Kacheripady, Ernakulam, Kerala 682035, India"
Hamburgueria Figueiredo,"R. Dr. Camargo, 5518 - Zona II, Umuarama - PR, 87502-010, Brazil"
"Питомник обезьян, Научно-исследовательский институт медицинской приматологии","ул. Мира, 177, Bolshoy Sochi, Krasnodar Krai, Russia, 354383"
Costa Coffee,"AL Daheri Building, Airport road"
Greensliding 133 義大利麵食館,"95942, Taiwan, Taitung County, Donghe Township, 南東河133號"
